日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-27,000858,100.5,102.65,102.88,100.41,102958,1052956367.65,2.44,1.35,1.37,0.27
2026-03-30,000858,101.99,103.46,103.9,101.8,124907,1286843153.03,2.05,0.79,0.81,0.32
2026-03-31,000858,105.0,103.27,105.8,103.27,178348,1865043694.12,2.45,-0.18,-0.19,0.46
2026-04-01,000858,103.97,104.39,105.18,103.39,122667,1279526789.08,1.73,1.08,1.12,0.32
2026-04-02,000858,104.0,105.0,105.26,103.88,151783,1589237202.13,1.32,0.58,0.61,0.39
2026-04-03,000858,104.97,103.49,104.97,103.29,83089,864181133.42,1.6,-1.44,-1.51,0.21
2026-04-07,000858,103.4,103.11,103.9,102.35,81548,839975542.86,1.5,-0.37,-0.38,0.21
2026-04-08,000858,103.9,104.19,104.2,103.51,97740,1016515697.76,0.67,1.05,1.08,0.25
2026-04-09,000858,103.38,102.6,103.69,102.5,98462,1012935759.78,1.14,-1.53,-1.59,0.25
2026-04-10,000858,102.61,102.07,102.95,102.0,122424,1253630005.44,0.93,-0.52,-0.53,0.32
2026-04-13,000858,101.64,102.42,102.45,101.08,122634,1247104400.52,1.34,0.34,0.35,0.32
2026-04-14,000858,102.42,103.1,103.4,101.88,120696,1238173621.19,1.48,0.66,0.68,0.31
2026-04-15,000858,102.9,103.55,103.99,102.68,115713,1196292314.27,1.27,0.44,0.45,0.3
2026-04-16,000858,103.5,103.44,104.0,103.22,90166,934168917.94,0.75,-0.11,-0.11,0.23
2026-04-17,000858,101.5,101.86,102.25,101.2,167432,1704502562.25,1.02,-1.53,-1.58,0.43
2026-04-20,000858,101.82,101.35,101.95,101.05,116961,1186004538.23,0.88,-0.5,-0.51,0.3
2026-04-21,000858,101.3,101.18,101.82,101.0,108281,1095969167.47,0.81,-0.17,-0.17,0.28
2026-04-22,000858,101.0,100.64,101.08,100.46,144383,1452833704.75,0.61,-0.53,-0.54,0.37
2026-04-23,000858,100.64,101.18,102.3,100.56,174023,1764308584.54,1.73,0.54,0.54,0.45
2026-04-24,000858,100.65,101.27,101.92,100.3,134533,1361341944.74,1.6,0.09,0.09,0.35
