日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-27,000002,4.01,4.06,4.07,3.98,657231,265432185.43,2.23,0.5,0.02,0.68
2026-03-30,000002,4.0,4.01,4.03,3.96,948481,379764555.8,1.72,-1.23,-0.05,0.98
2026-03-31,000002,4.02,3.99,4.08,3.98,989657,398852457.72,2.49,-0.5,-0.02,1.02
2026-04-01,000002,4.04,4.04,4.07,3.99,1068470,431001884.37,2.01,1.25,0.05,1.1
2026-04-02,000002,4.01,3.92,4.02,3.91,1231611,487209190.95,2.72,-2.97,-0.12,1.27
2026-04-03,000002,3.92,3.82,3.93,3.8,1035421,397361554.96,3.32,-2.55,-0.1,1.07
2026-04-07,000002,3.8,3.81,3.82,3.76,732911,278419795.0,1.57,-0.26,-0.01,0.75
2026-04-08,000002,3.85,3.95,3.98,3.84,1220209,477085770.34,3.67,3.67,0.14,1.26
2026-04-09,000002,3.9,3.87,3.91,3.85,857803,332161941.82,1.52,-2.03,-0.08,0.88
2026-04-10,000002,3.87,3.89,3.94,3.87,762622,297904084.53,1.81,0.52,0.02,0.78
2026-04-13,000002,3.85,3.91,3.92,3.84,811014,315793902.0,2.06,0.51,0.02,0.83
2026-04-14,000002,3.93,4.02,4.04,3.91,1822756,724745487.07,3.32,2.81,0.11,1.88
2026-04-15,000002,4.01,3.97,4.05,3.95,1171299,466921648.59,2.49,-1.24,-0.05,1.21
2026-04-16,000002,3.97,3.96,4.0,3.94,689006,272882730.3,1.51,-0.25,-0.01,0.71
2026-04-17,000002,3.96,3.96,4.02,3.94,984424,391407429.87,2.02,0.0,0.0,1.01
2026-04-20,000002,3.94,3.93,3.95,3.89,805786,315420341.14,1.52,-0.76,-0.03,0.83
2026-04-21,000002,3.92,3.9,3.95,3.89,728869,284972512.82,1.53,-0.76,-0.03,0.75
2026-04-22,000002,3.92,3.88,3.92,3.86,764654,296503187.09,1.54,-0.51,-0.02,0.79
2026-04-23,000002,3.87,3.81,3.88,3.81,1060385,406561190.06,1.8,-1.8,-0.07,1.09
2026-04-24,000002,3.8,3.75,3.81,3.74,904443,340528638.59,1.84,-1.57,-0.06,0.93
