日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-27,000333,72.9,74.78,74.95,72.8,319125,2367294086.52,2.89,0.62,0.46,0.47
2026-03-30,000333,73.35,72.1,74.0,71.77,456227,3304801589.87,2.98,-3.58,-2.68,0.67
2026-03-31,000333,75.05,76.35,77.32,74.31,694915,5310077351.85,4.17,5.89,4.25,1.01
2026-04-01,000333,76.5,76.84,77.4,76.34,273616,2100652577.87,1.39,0.64,0.49,0.4
2026-04-02,000333,76.85,77.37,77.84,76.58,326318,2523387317.67,1.64,0.69,0.53,0.48
2026-04-03,000333,77.3,76.35,77.35,76.2,172773,1325461933.44,1.49,-1.32,-1.02,0.25
2026-04-07,000333,76.35,76.12,76.7,75.62,163826,1246113299.91,1.41,-0.3,-0.23,0.24
2026-04-08,000333,76.95,76.73,77.25,76.35,286804,2200099878.86,1.18,0.8,0.61,0.42
2026-04-09,000333,76.4,76.52,77.02,75.9,235024,1796387350.5,1.46,-0.27,-0.21,0.34
2026-04-10,000333,76.52,76.41,76.74,76.06,258373,1971065631.96,0.89,-0.14,-0.11,0.38
2026-04-13,000333,76.03,75.78,76.47,75.58,182375,1384781817.96,1.16,-0.82,-0.63,0.27
2026-04-14,000333,76.06,76.55,76.55,75.5,195782,1489302845.09,1.39,1.02,0.77,0.29
2026-04-15,000333,76.55,77.49,77.88,76.2,318451,2461286852.72,2.19,1.23,0.94,0.46
2026-04-16,000333,77.77,77.9,78.44,77.4,238078,1853913747.87,1.34,0.53,0.41,0.35
2026-04-17,000333,78.18,78.65,79.25,77.84,277352,2181684922.93,1.81,0.96,0.75,0.4
2026-04-20,000333,78.4,79.58,79.9,78.05,276700,2201771534.36,2.35,1.18,0.93,0.4
2026-04-21,000333,79.75,79.5,80.08,79.2,238793,1903225381.94,1.11,-0.1,-0.08,0.35
2026-04-22,000333,79.5,79.3,79.63,78.87,202782,1606990584.79,0.96,-0.25,-0.2,0.3
2026-04-23,000333,79.29,79.85,80.15,78.73,299432,2388456633.05,1.79,0.69,0.55,0.44
2026-04-24,000333,79.56,79.66,80.2,79.46,217880,1740580503.26,0.93,-0.24,-0.19,0.32
